A_O3_ALL,B_O3_ALL,C_O3_ALL,D_O3_ALL,E_O3_ALL,F_O3_ALL,G_O3_ALL,H_O3_ALL,I_O3_ALL,J_O3_ALL,K_O3_ALL,L_O3_ALL,M_O3_ALL,N_O3_ALL,O_O3_ALL,P_O3_ALL,Q_O3_ALL
0.012028074,0.035942975,0.029361118,0.026881106,0.029883457,0.024687652,0.036236607,0.030652659,0.033335518,0.03437256,0.03420422,0.0365477,0.03915671,0.04239157,0.028083585,0.029591646,0.026962837
0.01573773,0.037443593,0.026290441,0.027542768,0.03210174,0.028076708,0.036863644,0.031240959,0.03309596,0.035248443,0.034379307,0.036730967,0.039328985,0.04203867,0.027343148,0.030600019,0.025805496
0.013500421,0.036422182,0.02948447,0.028091464,0.032628965,0.026099108,0.036525596,0.031743143,0.034082107,0.03505259,0.035085805,0.03720371,0.039861705,0.042578634,0.028136553,0.030600984,0.027228385
0.013510591,0.036548972,0.02854827,0.02908721,0.03105975,0.027171528,0.03676915,0.03223103,0.032632917,0.03559044,0.03574691,0.037128504,0.03964491,0.042774796,0.028318329,0.03181576,0.026186706
0.012915126,0.03654327,0.027988588,0.028597115,0.0323155,0.025486903,0.03658777,0.03166046,0.03291098,0.035649944,0.035215918,0.037957978,0.039742738,0.042534065,0.029287243,0.031166932,0.027116707
0.012686737,0.036330193,0.027512634,0.02638008,0.030166974,0.02579667,0.03628584,0.030675612,0.032417383,0.034369178,0.03347334,0.036456153,0.03914413,0.04265579,0.028518792,0.029291937,0.025892144
0.017302908,0.037715692,0.029962331,0.029830715,0.03267142,0.029331917,0.0382291,0.034301836,0.034428682,0.036569513,0.034996815,0.03792503,0.039503943,0.042390548,0.031153603,0.030898284,0.02929031
0.013940485,0.03680426,0.029965956,0.027799588,0.031790882,0.026571138,0.0364756,0.03211644,0.03413469,0.035783943,0.0352346,0.037320677,0.03967119,0.04219493,0.02948428,0.03167508,0.028176675
0.011899841,0.035942573,0.029519279,0.02616289,0.03328797,0.024874173,0.035705876,0.031372707,0.03280251,0.034330208,0.035630304,0.03811886,0.03986675,0.04297284,0.02913748,0.029586136,0.026428489
0.013085109,0.036691632,0.02637063,0.028946253,0.032013834,0.02655479,0.03641375,0.032915097,0.03480009,0.03532907,0.03557588,0.03848638,0.04013977,0.04275611,0.030717844,0.030740298,0.028834328
0.014303815,0.037136275,0.027441094,0.030389408,0.03253671,0.028697297,0.03779789,0.03349498,0.035101727,0.036673862,0.03582602,0.03838624,0.040024966,0.04207424,0.030608432,0.03157914,0.02898869
0.012150191,0.035731632,0.03014036,0.03046126,0.031458907,0.02464606,0.036712267,0.03149867,0.0333534,0.036271133,0.03571561,0.036848567,0.039292604,0.042281374,0.02915365,0.03330533,0.02763369
0.014713599,0.03680555,0.029749244,0.026250403,0.033276346,0.028219549,0.0374372,0.03316243,0.03460168,0.03478331,0.03453779,0.038466692,0.03981795,0.042774223,0.028932841,0.030791007,0.028244175
0.012032247,0.036264528,0.026179785,0.02652747,0.03226802,0.025207486,0.03609786,0.031139677,0.03379643,0.03431114,0.03437653,0.03764973,0.039845716,0.042767867,0.029651655,0.031103022,0.02754529
0.015585691,0.036669567,0.029760431,0.028306603,0.03290364,0.028039634,0.037420716,0.032774866,0.03345494,0.03640961,0.035334542,0.038129337,0.040060464,0.042533796,0.029599406,0.03263726,0.026869066
0.012191187,0.036338586,0.025635144,0.028956475,0.03337356,0.025646897,0.03679903,0.03282549,0.03430125,0.036228083,0.034193367,0.038551986,0.039750256,0.042276986,0.030265216,0.029518617,0.028182061
0.014830151,0.036850616,0.027868265,0.029719053,0.031341445,0.027966004,0.037626293,0.033407457,0.034921683,0.036092494,0.035680644,0.03770805,0.03984028,0.04313986,0.03050989,0.03024468,0.028215488
0.014321326,0.03721064,0.029079393,0.028977674,0.030097717,0.026962722,0.036764648,0.031674854,0.03424344,0.035276163,0.034713015,0.037034087,0.03920422,0.042612646,0.029593699,0.032297805,0.027257605
0.01568226,0.03678348,0.027197424,0.02888289,0.031646285,0.02882454,0.037372623,0.033495616,0.0341487,0.03571875,0.034630544,0.036831684,0.039304394,0.04257487,0.030652821,0.032200724,0.028777098
0.013567654,0.03673465,0.025964748,0.02626286,0.032575224,0.026770296,0.03689862,0.030876571,0.032867137,0.03456001,0.03492982,0.03678957,0.03928283,0.04285319,0.027169233,0.029958088,0.025640877
0.011610236,0.035854947,0.027819384,0.028698789,0.029511735,0.025178479,0.036579832,0.031529065,0.032858178,0.035636082,0.03460871,0.037284624,0.038741358,0.042546477,0.028099978,0.031839922,0.026902573
0.011242202,0.036087178,0.026323875,0.029007953,0.033831786,0.02480202,0.035937294,0.031750415,0.03446228,0.035375006,0.034462042,0.037137747,0.040049415,0.042591535,0.028864495,0.030678969,0.027758598
0.016635712,0.03740647,0.027256528,0.02880754,0.03169181,0.028800666,0.037320815,0.031760752,0.033915572,0.035503756,0.035496958,0.037992775,0.039226357,0.043044228,0.028650291,0.030209158,0.027666988
0.015039979,0.03730313,0.026124591,0.027100565,0.033176344,0.028948482,0.037943333,0.033050332,0.034986448,0.035784174,0.03453503,0.037841447,0.04003948,0.04320127,0.029892353,0.029754685,0.029151758
0.015131755,0.037020806,0.030078653,0.027170982,0.03237908,0.027028136,0.03663428,0.031934135,0.03370555,0.035316467,0.035124417,0.038095932,0.04016889,0.043035287,0.02941253,0.03171318,0.027839132
0.016933601,0.037552573,0.028046465,0.0259133,0.030497124,0.029063892,0.03775841,0.0322744,0.034069713,0.034687165,0.034029655,0.03711059,0.039134674,0.042017724,0.028949594,0.03059697,0.028225288
0.0125305075,0.036134757,0.028816229,0.027274536,0.032090217,0.02476895,0.035880025,0.03143144,0.03293093,0.03491474,0.033903297,0.037220154,0.039567508,0.04210251,0.028556947,0.031356562,0.026964724
0.015243756,0.03723345,0.030019129,0.029696397,0.0316791,0.0290721,0.03734766,0.033768557,0.03537209,0.03677631,0.035776984,0.03810002,0.039604813,0.043236956,0.030757964,0.03274461,0.029501611
0.010711439,0.035911426,0.027954984,0.026783789,0.031294372,0.024308193,0.03574412,0.031989135,0.033449426,0.034868576,0.034652673,0.037407927,0.03959801,0.042911947,0.028776389,0.030390766,0.027001029
0.013629677,0.036202833,0.028149184,0.027161565,0.031997215,0.025913473,0.036277723,0.031039428,0.03329274,0.03434795,0.034094807,0.036697637,0.039590143,0.04238949,0.028031163,0.030606369,0.026543774
0.016373966,0.037203398,0.028052393,0.028066423,0.031044437,0.028250335,0.0371516,0.03189652,0.033237677,0.035204556,0.03458172,0.037359055,0.03985828,0.042571217,0.029280681,0.03155789,0.027099999
0.0129459,0.03670345,0.029545898,0.029124023,0.0326978,0.025975596,0.037174933,0.033582937,0.034235988,0.03652955,0.036267083,0.038377803,0.039933335,0.04220909,0.030422146,0.03283439,0.028456384
0.013471746,0.036125053,0.028963497,0.027101483,0.031868454,0.025310345,0.036456767,0.031450436,0.033731468,0.03519825,0.03539654,0.03699151,0.03935406,0.04259401,0.028433569,0.031004071,0.02691366
0.012680696,0.036058597,0.027701244,0.026805313,0.03151002,0.026171062,0.0364931,0.03221683,0.033699468,0.03483304,0.035162073,0.037755728,0.03951875,0.042182956,0.029378036,0.03095896,0.02769555
