A_NOX_ALL,A_VOC_ALL,A_NH3_ALL,A_O3_ALL,B_NOX_ALL,B_VOC_ALL,B_NH3_ALL,B_O3_ALL,C_NOX_ALL,C_VOC_ALL,C_NH3_ALL,C_O3_ALL,D_NOX_ALL,D_VOC_ALL,D_NH3_ALL,D_O3_ALL,E_NOX_ALL,E_VOC_ALL,E_NH3_ALL,E_O3_ALL,F_NOX_ALL,F_VOC_ALL,F_NH3_ALL,F_O3_ALL,G_NOX_ALL,G_VOC_ALL,G_NH3_ALL,G_O3_ALL,H_NOX_ALL,H_VOC_ALL,H_NH3_ALL,H_O3_ALL,I_NOX_ALL,I_VOC_ALL,I_NH3_ALL,I_O3_ALL,J_NOX_ALL,J_VOC_ALL,J_NH3_ALL,J_O3_ALL,K_NOX_ALL,K_VOC_ALL,K_NH3_ALL,K_O3_ALL,L_NOX_ALL,L_VOC_ALL,L_NH3_ALL,L_O3_ALL,M_NOX_ALL,M_VOC_ALL,M_NH3_ALL,M_O3_ALL,N_NOX_ALL,N_VOC_ALL,N_NH3_ALL,N_O3_ALL,O_NOX_ALL,O_VOC_ALL,O_NH3_ALL,O_O3_ALL,P_NOX_ALL,P_VOC_ALL,P_NH3_ALL,P_O3_ALL,Q_NOX_ALL,Q_VOC_ALL,Q_NH3_ALL,Q_O3_ALL
0.820852315,1.026368394,1.050056347,0.013671764,1.14906309,1.118506276,1.015093218,0.036138613,0.721867225,0.700106379,1.001793521,0.02876563,0.966075265,0.888192116,1.151433944,0.02833671,0.815228197,1.053695081,0.925134205,0.0318269,1.005309915,0.60130138,0.761400651,0.026166294,1.063002636,0.962053281,0.844068425,0.036569435,0.891570756,1.08152382,0.965459015,0.032079868,1.241447809,1.374880155,1.444020817,0.033303402,0.787804046,1.031905493,0.538153682,0.03565813,1.15110828,1.248048355,0.730424623,0.034168776,0.862814541,1.164081199,1.014211258,0.037613116,1.209086436,1.286166171,1.248607376,0.03927081,0.705034996,0.897971241,0.56817784,0.04302111,1.308128757,1.237511567,1.163824633,0.028071346,1.091532574,1.022954243,1.14401541,0.030747298,1.255916128,1.017635451,0.804027679,0.02658554
0.691341264,1.335610897,0.930720705,0.013068015,0.833548011,0.820514913,0.898062576,0.0361591,1.127458834,1.370537389,0.782002772,0.02763075,1.039430602,1.171035481,1.255203803,0.02800575,0.794451606,0.905595179,0.885123001,0.03149428,1.290663374,1.079083368,0.942340035,0.024886616,1.049177688,0.928648143,0.626641667,0.036055364,1.030063062,1.008281267,1.18711479,0.03129659,1.252095727,1.257888873,1.148206367,0.032089338,0.949704843,0.914361641,0.893340909,0.035202738,0.84508686,0.906261133,1.246170352,0.035332594,1.140941017,0.878498615,0.617322083,0.036715586,1.193947832,1.027090228,0.615826856,0.039030083,1.178037524,0.917243498,1.19973187,0.04216611,1.244419121,0.945688733,1.263523666,0.027566204,1.132721897,1.058262186,1.150685872,0.030316444,0.992806345,0.808624676,0.953154319,0.02603479
1.177467753,0.966436295,0.964131132,0.013830573,1.315408302,1.205370629,1.190558951,0.036571108,1.160950913,1.007178832,1.098350386,0.026814952,0.910975987,1.215869153,0.869109955,0.028172972,0.920531729,0.814526214,0.962785779,0.031097895,0.807851423,1.121782965,1.024836246,0.027776953,1.215380149,1.380525858,1.468888275,0.037024472,0.626677199,0.930235505,0.735944268,0.033835914,0.843145688,0.762482343,0.837888292,0.03515052,0.985530425,1.092512301,0.980051823,0.035688046,1.073951627,1.200951188,0.605150367,0.03438425,1.222625445,1.029958876,1.050501199,0.03727198,1.130343777,1.021589069,1.370165481,0.039171938,0.846146603,0.963329719,1.119025618,0.042863596,0.578584822,0.595222565,0.901052038,0.03165441,0.902461799,0.975298116,1.056802471,0.031443775,1.066662532,0.945558232,1.159146349,0.029436082
0.836092766,1.059083772,0.788324838,0.014298058,0.99335355,1.151870965,0.884118311,0.036635496,1.302877973,1.244288743,1.24164193,0.026905969,1.198845605,0.85804329,1.242575581,0.028540047,1.31558375,0.687552902,1.111537875,0.030818867,0.945573473,0.82888996,1.303994655,0.027081972,0.926917269,1.19678751,1.051018569,0.037301075,0.633222091,1.121366932,1.160487624,0.033758756,1.086704346,1.155693432,0.873167704,0.033989683,0.71330593,1.137415163,1.343261675,0.036471803,1.120321035,1.387050665,1.071809871,0.03517903,0.671174111,0.807549681,0.829796568,0.038271826,1.018857265,1.204061232,1.025476702,0.039748866,0.971837819,0.918763524,1.028691567,0.042732164,1.094424605,1.116422253,1.248137756,0.029800756,0.891152831,0.93834724,0.762334857,0.03151005,0.688035516,1.250679634,1.462274323,0.028863342
1.078783634,1.112575744,0.900355386,0.0118390955,0.766444383,1.062483422,0.744232623,0.036371134,0.76355812,0.805908107,0.8009864,0.028844561,1.145488014,0.911812156,0.958947432,0.027027655,0.964030143,1.185511321,0.818832668,0.030742176,1.383397484,1.032541348,1.444608616,0.024416028,1.026873103,1.116623735,0.836247327,0.035763413,1.204273267,0.806746963,0.733589385,0.030768089,1.00027797,1.103105064,1.020284989,0.033051692,1.095745931,1.153668203,1.005600946,0.0347334,1.000168139,0.665045915,0.956299456,0.03419157,1.257569443,1.274692741,0.713452489,0.036660727,1.333130185,1.372777073,0.682829481,0.03886439,1.303441081,1.062025886,0.710594592,0.041945748,1.038471981,0.909336077,0.993344691,0.028146226,0.831000081,0.963614744,0.841430932,0.031842936,1.314318581,1.036815944,1.147832847,0.026074857
0.887576155,1.001864345,1.193613363,0.013222378,1.242787208,1.345996677,1.136377204,0.036064327,1.300810382,1.229483078,0.916975977,0.02666972,0.842031396,1.107819846,0.706796132,0.027445648,0.614468388,0.782514459,0.786249266,0.032667246,1.055692137,0.794477796,0.922921967,0.026151394,0.617559979,0.938546017,1.038859946,0.037379548,0.895840651,0.61566863,0.567525532,0.031896792,1.033655348,1.157174745,1.133298273,0.033680655,1.323144114,1.287794534,1.030879346,0.03458515,0.877830062,0.965757446,1.18256114,0.035348732,1.107278266,0.877270294,0.67110692,0.037204057,0.920813903,0.768074108,1.219933353,0.039494637,0.799717786,1.045646041,1.426849709,0.042889114,1.163015058,1.195258011,1.209929442,0.028507743,1.178065056,1.054667461,1.269700899,0.029979566,0.827245433,0.923176013,1.300674041,0.02751183
1.121636191,0.794491362,1.18782145,0.0141066555,0.99067355,0.998338523,1.262557968,0.03685009,1.199733202,0.954164508,0.867544814,0.027897,1.006998854,1.232183204,0.841980444,0.027860558,1.219608591,1.347903213,1.057171305,0.030638054,0.8467579,0.98357596,0.960248077,0.027414517,1.109547492,0.966157433,0.938525014,0.037149634,1.04617044,1.055439441,1.31330386,0.032130837,1.065496117,1.164454857,1.385136095,0.03432627,1.160897321,0.968495717,0.931736411,0.03531932,0.668304835,1.054827503,1.385330073,0.0357462,1.047377449,1.014435902,1.455730207,0.037589356,1.037082819,1.068097906,0.902386479,0.0394952,0.793903629,1.305434012,1.309435337,0.04294624,0.76592366,1.24216435,0.918992526,0.030252026,0.892713728,1.011653464,0.918370795,0.03206601,0.646395612,0.957908292,0.875688163,0.02870241
0.937795447,1.314486397,0.831813021,0.013107496,0.70464783,1.155248282,1.053482555,0.036698323,1.188235438,1.160316596,1.207471927,0.027324265,0.99687835,0.852039457,0.688289907,0.028152414,1.079574262,1.326900919,1.068767431,0.03100554,1.222320396,1.216763915,1.387171262,0.025614034,1.033006196,0.821281821,0.742863154,0.03657793,1.069690416,1.395048314,0.765889335,0.031456813,1.037023774,0.854090131,1.430821256,0.033472594,1.079614783,1.297225802,0.808857143,0.035334766,0.812607855,0.847436061,0.766511831,0.035092384,1.255442327,0.848092695,0.942112175,0.036798757,1.107635736,1.235265351,1.323642306,0.039340906,1.151458968,1.234434377,0.936902522,0.042396974,0.802458526,0.742229211,1.048965822,0.029211663,0.87132511,0.918377826,1.015489001,0.03136919,1.163502604,1.335925615,0.690968792,0.026918123
1.150847698,0.837779326,0.758134516,0.013331853,0.872205109,0.885999311,0.752997423,0.036697447,0.65295079,0.936080146,1.000384888,0.030435383,1.154444651,1.20552941,1.117516639,0.028266845,0.966661573,0.877767777,0.904417043,0.031432025,0.972687437,0.912407899,1.112310845,0.026653659,0.914866235,0.86452864,0.585364604,0.036991373,1.199627553,1.146781946,0.564070468,0.032037795,0.97062572,1.056236129,1.401249314,0.033471886,0.902797813,0.700551416,0.599514538,0.035783064,0.769314224,1.147885563,0.982438979,0.03542587,0.96907897,0.837737613,0.744117009,0.037522383,1.12744614,1.109740951,1.129643843,0.039452627,0.923948985,0.955059225,1.403967311,0.042802963,0.70093699,1.193964304,1.046467574,0.029991927,1.099885274,1.173736613,1.212724644,0.03159767,0.934333185,1.297449377,0.669926645,0.027527208
0.685697917,1.267927986,1.040324827,0.012795502,1.000580213,0.864796333,0.808686546,0.036027487,1.277152589,1.026466858,0.947325776,0.026639918,1.33526403,1.119748781,1.22457607,0.026658257,0.770784754,1.081360679,0.955329345,0.03160874,1.348264934,0.955612994,0.92256383,0.024871172,0.885992805,1.073427408,1.059960637,0.03652445,0.990110841,1.393334773,0.857101719,0.031242073,1.059094456,0.990000056,0.873180935,0.033404272,0.922121029,0.660730851,0.75576617,0.034982685,0.862859613,1.024690342,1.016494418,0.034939133,1.133290228,1.049238568,0.871652833,0.03698091,1.045209319,0.815643971,1.412468761,0.03914153,1.170913037,1.312201307,1.068371673,0.042274754,0.910128609,1.108601473,0.73352729,0.028924596,1.09658822,1.228618559,1.408816841,0.030779151,0.912021386,0.72844212,0.562346022,0.027212339
