,A_SO2_ALL,A_PM25_ALL,B_SO2_ALL,B_PM25_ALL,C_SO2_ALL,C_PM25_ALL,D_SO2_ALL,D_PM25_ALL,E_SO2_ALL,E_PM25_ALL,F_SO2_ALL,F_PM25_ALL,G_SO2_ALL,G_PM25_ALL,H_SO2_ALL,H_PM25_ALL,I_SO2_ALL,I_PM25_ALL,J_SO2_ALL,J_PM25_ALL,K_SO2_ALL,K_PM25_ALL,L_SO2_ALL,L_PM25_ALL,M_SO2_ALL,M_PM25_ALL,N_SO2_ALL,N_PM25_ALL,O_SO2_ALL,O_PM25_ALL,P_SO2_ALL,P_PM25_ALL,Q_SO2_ALL,Q_PM25_ALL
11,1.172086828,1.003036027,1.044882287,1.135436207,0.767265709,0.843537561,1.093356394,1.000530927,1.186315402,0.892428215,0.762582674,0.898853909,0.928997704,0.859318522,0.930092792,1.151271247,1.377661208,1.288166977,0.649348299,0.697580772,0.908654911,1.157557608,1.136901811,1.081169377,1.308996177,1.340903326,0.856304178,0.742689765,0.708630146,1.23518554,1.105718887,1.138972816,1.325496149,1.315501036
12,0.575553155,0.8418485,0.800376935,0.723461226,1.119415174,0.979876427,1.021283729,1.097847109,0.918847637,0.892352351,0.916335199,1.186932255,0.899936268,0.896668319,1.204068405,1.239883032,1.18475553,1.258674499,0.989579676,1.007079163,1.092919132,0.932304788,1.221709536,1.032804258,1.151613761,1.187185765,0.967673746,1.098007422,1.289736678,1.279626638,1.120964333,1.146532649,1.427797235,1.129968809
13,0.753088491,1.02298087,1.101176918,1.326937511,1.172527769,1.161604238,0.97166593,0.919908687,0.854091757,0.815569151,1.134830125,1.030582365,1.127734276,1.270305646,0.639249492,0.696816009,0.906924445,0.796845025,0.700439219,0.759513861,0.765108661,0.923330112,1.138434112,1.248260335,0.97732216,1.011110036,0.95424045,1.047658307,0.784167767,0.684339435,0.972553025,0.988379373,1.069127852,0.875387376
14,0.564751907,0.767403109,0.801978261,0.807867592,1.308467167,1.316446101,0.989531468,1.234673434,0.992271501,1.027325917,0.852626944,0.913691292,0.792182572,0.852821035,0.70781504,0.799450915,1.100672096,1.109893981,0.742465105,0.792148392,1.280761446,1.112041917,0.752436194,0.779843279,1.215888889,1.275369805,1.084432418,0.879382741,0.823978776,1.158501656,0.757713579,0.886020581,0.769699446,0.903979526
15,1.250322946,0.876193533,1.036185683,0.813711063,0.783648481,0.791070602,1.036674098,0.965378297,1.080116174,0.801184718,1.10868687,1.337774841,0.91864532,1.041074347,1.23084994,1.110096049,1.118520199,1.222433559,1.267295205,1.210376327,0.824742037,0.957168251,1.311780936,1.143188138,1.365542934,1.415999391,0.979456613,1.200866672,0.936020465,0.958571627,0.883320497,0.812243444,1.070440638,1.226518771
16,1.44602701,1.088976206,0.951915619,1.182015231,1.23301379,1.09563103,0.802691573,0.774570631,0.908290329,0.793522508,1.020687991,1.115223837,0.71611169,0.860340003,0.670585363,0.76834247,1.223314827,1.301940579,1.148273424,1.198345008,1.180976701,0.94929173,1.135880013,0.863977838,0.759562923,0.846821191,0.922941454,1.033745287,0.938332463,1.278368707,1.315042322,1.188290565,0.867381974,0.757894592
17,1.229590375,1.202761266,1.303833155,1.033657968,1.193834333,0.991673392,0.728262038,0.93439305,1.105120513,1.192666915,1.175102414,0.978056503,1.182511153,1.036310282,0.838838282,0.970529731,1.180104767,1.05530997,1.259339373,1.234401549,0.728737048,0.92168418,1.220786275,1.078467052,0.971820577,0.979966568,0.877262777,1.12316796,0.950679872,0.884146476,0.947490479,0.846678951,1.229085887,0.913454045
18,0.700333555,0.903953864,0.85066791,0.854738178,1.202187071,1.285452227,0.824643664,0.850400165,0.925808405,0.900211928,1.312157244,1.177938524,0.96666157,0.855296019,0.98327448,1.226733239,1.116298341,1.076201368,1.344757235,1.284839431,0.826637117,1.086026065,0.920355918,1.042800066,1.16103752,1.178765685,1.216334508,1.199013611,0.670474186,0.92623374,0.948776579,0.913007902,1.144273416,1.153635926
19,1.094079172,0.862549368,0.811096724,0.802675393,0.688955388,0.822398129,1.030073648,1.056301814,0.714623102,0.767566241,1.10188864,0.88838384,0.971306582,0.874396856,1.351348369,1.231143879,0.964059892,1.187141511,1.083265849,1.040112647,0.64151218,1.015075476,0.972486062,1.11001888,1.186239231,1.198311355,1.091011276,1.026439358,0.850189602,0.841214065,1.203625058,1.146490351,1.159869213,1.122265223
20,0.685352476,0.958541357,0.858464467,1.073761092,1.249174092,1.17062892,1.106861002,1.159310598,0.800873047,0.966893566,1.345571281,1.291758,0.935739163,1.019834351,0.760097236,1.151942654,1.194729963,1.163751923,0.704160993,0.740691704,0.928774504,0.923991548,1.093630068,0.843609291,0.802793778,0.822620112,1.147781058,1.089147041,0.914572791,0.843913133,1.379539174,1.176978413,1.147755856,0.967789074
21,1.067523669,1.256108821,0.907378191,1.008105189,0.865596094,0.815188656,1.263804889,1.090233608,1.070855011,1.063951512,1.001533858,0.856842651,0.685691454,0.799123209,1.018639884,1.069267835,0.928457143,1.038888288,0.770430662,0.817779625,1.213880502,1.210562616,1.144119964,1.15309687,1.051269979,1.036269766,1.046105601,1.18032035,1.154936609,1.178537687,1.35860228,1.193234069,0.874368292,0.948312803
22,0.648950018,0.94188314,0.713512478,0.823746578,0.665424025,0.856186251,1.092648837,1.068087834,1.365480336,1.377929829,1.10231333,1.274226835,0.723568941,0.764408975,0.933421829,1.156610601,1.044699341,1.121395947,0.960939134,0.952508044,1.123009295,1.020716499,1.017429943,1.128644465,0.762998234,0.793129299,0.909663548,0.854758565,1.21718313,1.069362901,0.897374143,0.977360008,0.916331773,0.983701397
23,0.969300214,1.188267994,1.02898317,0.696710647,1.159663624,1.012417416,0.903674345,1.159370953,0.666840206,0.706637638,0.753793174,0.847494015,1.014949699,1.072936079,1.276861449,1.202789346,1.153023276,1.049963348,1.376623611,1.247595372,0.77146833,1.024917102,1.054638329,1.158195537,1.022551501,0.98246848,1.265845466,1.283308818,1.202247273,1.184678407,0.976189557,0.965332026,0.98324302,1.079645655
24,1.101077837,0.946141088,0.887760946,0.853795382,0.725264215,0.698903598,0.818922852,0.990996516,1.113425838,0.788608703,1.150244674,1.102150099,1.322433909,1.261385178,0.800824855,0.864557713,1.149922229,1.117564592,0.588038545,0.65466477,1.272323068,0.991769558,1.192039423,1.1345897,1.054352505,0.965628819,0.917742777,1.232214149,1.298189799,1.106582937,0.74524498,0.914132432,1.230129607,1.075006524
25,0.845676911,1.368510539,0.978090693,1.156566006,1.020347119,0.995761665,1.400513914,1.055328782,0.621987589,0.975572546,0.968452787,0.972266359,1.09554166,1.025800055,0.872501309,0.900594686,1.122040128,1.20701696,1.003695598,0.99593309,1.217964514,0.796437463,0.982737659,1.158769262,1.186674033,1.216403348,1.000717932,1.131243309,0.685721772,0.915418261,1.151211476,1.033660485,1.107010767,1.116653097
26,0.602075655,0.949585083,0.92237742,1.014788026,0.99859384,1.084963609,1.27554679,1.128407956,0.824316177,1.020494472,0.908011585,0.999734584,0.915053994,0.856034418,1.007928111,0.983410027,0.985286978,0.985746651,0.792784343,0.79722337,1.112678457,1.016384655,0.975482756,0.859864044,1.271930326,1.235760553,0.849326859,0.91967891,0.851457546,0.884008753,1.366945872,1.188046372,1.26241221,0.884212381
27,1.039976713,1.020272649,1.016222032,1.056441322,0.847030874,1.009268272,0.735547392,1.082357722,1.118410891,1.165868524,1.228956503,1.090394861,1.063411252,1.181181713,1.151754481,1.21567313,1.374978093,1.293246626,1.368749171,1.326901078,1.384927847,1.165067506,0.800861645,1.294568806,1.007672597,0.942339987,0.923166318,0.721891177,0.973863442,1.043075674,0.828011738,1.012040686,0.73396714,0.976765768
28,0.816002565,0.94183173,0.895096745,0.948771008,0.643455235,0.678880634,1.02929642,0.79086454,0.695308061,0.903682256,0.857540029,0.746436188,1.274698907,1.075339263,0.663589093,0.893936283,1.032045068,1.245622056,0.573632484,0.675360824,0.671799437,0.970528394,0.856005603,0.978611757,1.21678366,1.167742458,1.172226,0.823492232,1.060013216,0.926257075,1.086781026,1.093676631,0.900450403,0.822936712
29,0.993296076,0.88004125,0.820386399,0.754016131,0.788811475,0.741195307,0.708118488,1.138110331,1.038837435,1.194723075,0.914277975,0.863542946,1.3107673,1.161791216,1.425165484,1.207088788,1.424178032,1.313597822,0.802163885,0.857424878,1.192162113,1.094796807,0.761118419,1.046881729,1.021571553,0.997383828,1.195612304,1.075582889,0.81537866,1.062548717,1.071973216,1.070617521,0.687701664,1.019054443
30,0.917164363,1.148011575,1.044112141,0.922783235,0.744206403,0.902360539,1.395411233,1.142557201,0.959957959,0.74887642,0.949947874,1.02937643,1.100551458,1.066654299,1.37998299,1.008717367,1.134361881,1.081271344,0.677605562,0.799506832,0.661265262,0.873977293,0.884917792,0.592740089,1.169906428,1.111823467,0.812885051,0.9987383,0.970821258,1.013907394,1.304019773,1.326604865,0.8795128,1.13862874
31,0.565131885,1.313296155,1.136989305,1.097534323,1.35766911,1.16780748,0.805728649,0.830689575,1.213106758,0.891734054,0.967074874,0.91070449,1.178032781,1.249201715,0.845497362,0.842080856,1.096240094,1.058778694,0.841605602,0.899811699,0.733715516,1.018656911,0.92775638,0.882280464,0.849518641,0.834685122,1.050806168,1.129338321,1.216467769,0.749519547,1.109918939,1.096345908,0.956465506,0.912177971
32,1.266515425,1.326623465,0.883123652,0.848266851,1.196664459,1.075702712,1.131900753,0.901200365,0.868821521,0.803821605,1.03331517,1.001917317,1.117454302,0.945951488,1.179526793,1.090831636,1.240725648,1.049666028,1.108495464,1.018603495,1.156704303,1.065452053,0.92711569,0.900096617,1.143228112,1.096369713,1.134533976,1.218152555,1.160636498,1.011344032,0.674216332,0.791291108,1.169172844,1.07101388
33,0.896379154,1.002118072,1.223079065,1.294354327,0.859488628,0.92943744,1.144402174,1.054922974,0.999174601,1.080057989,1.014635155,1.290622119,0.714878857,0.745795145,1.261541693,1.111879684,0.910310215,0.941797367,0.680769503,0.726779321,1.26932399,1.027076286,0.698962093,1.128847986,0.90454733,0.942239824,1.140149711,1.236528553,0.718719233,1.041715274,1.063857071,1.008557476,0.818660422,0.893726623
